aircraft carrier	lotniskowiec
airplane	samolot
alarm clock	budzik
ambulance	ambulans
angel	anioł
ant	mrówka
anvil	kowadło
apple	jabłko
arm	ramię
asparagus	szparag
axe	topór
backpack	plecak
banana	banan
bandage	bandaż
barn	stodoła
baseball bat	kij baseball'owy
baseball	baseball
basket	kosz
basketball	koszykówka
bat	nietoperz
bathtub	wanna
beach	plaża
bear	niedźwiedź
beard	broda
bed	łóżko
bee	pszczoła
belt	pasek
bench	ławka
bicycle	rower
binoculars	lornetka
bird	ptak
birthday cake	tort urodzinowy
blackberry	jeżyna
blueberry	borówka amerykańska
book	książka
boomerang	bumerang
bottlecap	nakrętka od butelki
bowtie	muszka
bracelet	bransoletka
brain	mózg
bread	chleb
bridge	most
broccoli	brokuły
broom	miotła
bucket	wiaderko
bulldozer	spychacz
bus	autobus
bush	krzak
butterfly	motyl
cactus	kaktus
cake	ciasto
calculator	kalkulator
calendar	kalendarz
camel	wielbłąd
camera	kamera
camouflage	kamuflaż
campfire	ognisko
candle	świeca
cannon	armata
canoe	kajak
car	samochód
carrot	marchewka
castle	zamek
cat	kot
cell phone	telefon komórkowy
cello	wiolonczela
chair	krzesło
chandelier	żyrandol
church	kościół
circle	okrąg
clarinet	klarnet
clock	zegar
cloud	chmura
coffee cup	filiżanka kawy
compass	kompas
computer	komputer
cookie	ciastko
cooler	chłodnica
couch	kanapa
cow	krowa
crab	krab
crayon	kredka
crocodile	krokodyl
crown	korona
cruise ship	statek wycieczkowy
cup	filiżanka
diamond	diament
dishwasher	zmywarka
diving board	trampolina
dog	pies
dolphin	delfin
donut	pączek
door	drzwi
dragon	smok
dresser	kredens
drill	wiertarka
drums	bębny
duck	kaczka
dumbbell	hantle
ear	ucho
elbow	łokieć
elephant	słoń
envelope	koperta
eraser	gumka do mazania
eye	oko
eyeglasses	okulary
face	twarz
fan	wentylator
feather	pióro
fence	ogrodzenie
finger	palec
fire hydrant	hydrant
fireplace	kominek
firetruck	wóz strażacki
fish	ryba
flamingo	flaming
flashlight	latarka
flip flops	klapki
floor lamp	lampa podłogowa
flower	kwiat
flying saucer	latający spodek
foot	stopa
fork	widelec
frog	żaba
frying pan	patelnia
garden hose	wąż ogrodowy
garden	ogród
giraffe	żyrafa
goatee	kozia bródka
golf club	kij golfowy
grapes	winogrona
grass	trawa
guitar	gitara
hamburger	hamburger
hammer	młotek
hand	ręka
harp	harfa
hat	kapelusz
headphones	słuchawki
hedgehog	jeż
helicopter	śmigłowiec
helmet	kask
hexagon	sześciokąt
hockey puck	krążek hokejowy
hockey stick	kij hokejowy
horse	koń
hospital	szpital
